,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
201,103.1,178,-2.93,100.1,208,65.6,193,MAAC,-.002,176,-3.67,259,102.2,145,100.1,256,201,-2.12,204,,Canisius,15-17
202,102.0,157,-2.95,99.1,229,66.5,144,SB,+.002,166,-1.60,201,105.8,299,100.8,230,202,-5.00,257,,Arkansas St.,17-14
203,104.0,204,-3.09,100.9,198,66.5,140,Slnd,-.006,186,-3.88,263,105.7,295,99.2,278,203,-6.53,285,,Southeastern Louisiana,19-12
204,103.6,192,-3.14,100.5,204,66.1,166,WCC,+.007,154,+5.11,54,102.7,163,106.0,66,204,+3.35,105,,San Francisco,12-18
205,111.2,317,-3.33,107.8,91,68.1,70,ASun,-.014,210,+10.38,6,102.7,164,100.2,254,205,-2.54,215,,Mercer,16-17
206,107.2,260,-3.36,103.8,154,67.7,84,SB,-.038,272,+5.41,51,104.4,233,101.5,207,206,-2.84,226,,Florida Atlantic,14-16
207,107.2,261,-3.52,103.7,157,66.0,173,OVC,+.082,19,+9.04,11,104.0,212,102.5,176,207,-1.53,191,,Austin Peay,17-15
208,102.1,160,-3.68,98.4,239,62.0,311,WCC,-.045,287,+3.46,76,102.3,151,105.1,87,208,+2.72,114,,San Diego,11-21
209,103.5,186,-3.71,99.8,218,61.6,317,CAA,-.057,305,-6.38,309,102.6,159,101.7,196,209,-0.88,179,,Georgia St.,12-20
210,106.2,244,-3.79,102.5,177,67.9,77,BW,+.040,79,+0.78,132,104.0,211,101.4,210,210,-2.55,216,,Cal St. Fullerton,16-15
211,103.9,201,-3.90,100.0,214,63.3,280,OVC,+.089,15,-4.34,275,105.6,290,100.3,247,211,-5.26,263,,Eastern Illinois,19-12
